,title,links
0,"NSE India, National Stock Exchange",/assets/images/NSE_Logo.svg
1,Get Quote Search,/assets/images/Get_Quote_search.svg
2,NSE - NIFTY 50,/assets/images/logo_nifty50.png
3,NSE - Currency Derivative,/assets/images/logo_currencyDer.png
4,NSE - Commodity Derivative,/assets/images/logo_commodityDer.png
5,NSE - Debt Market,/assets/images/nse-debt-market-logo.png
6,About Us,https://static.nseindia.com/s3fs-public/2020-08/about_nse.jpg
7,Our Group,https://static.nseindia.com/s3fs-public/2020-08/gorup_companies.jpg
8,Our Products,https://static.nseindia.com/s3fs-public/2020-08/products.jpg
9,Market Snapshot,https://static.nseindia.com/s3fs-public/2019-07/market-snapshot_0.png
10,Option Chain,https://static.nseindia.com/s3fs-public/2019-07/option-chain_0.png
11,Stock Screener,https://static.nseindia.com/s3fs-public/2021-07/stock_screener.png
12,Investor's Home,https://static.nseindia.com/s3fs-public/2019-07/investor-home.png
13,Product Information,https://static.nseindia.com/s3fs-public/2019-07/product-home.png
14,Login to NSE NICE Plus,https://static.nseindia.com/s3fs-public/2019-07/nice-plus.png
15,Corporates Home,https://static.nseindia.com/s3fs-public/2019-07/corporate-home.png
16,Company Compliance Information,https://static.nseindia.com/s3fs-public/2019-07/company-compliance-info.png
17,NEAPS Portal,https://static.nseindia.com/s3fs-public/2019-07/neaps-portal.png
18,Member's Home,https://static.nseindia.com/s3fs-public/2019-07/members-home.png
19,Member Portal,https://static.nseindia.com/s3fs-public/2019-07/members-portal.png
20,Exchange Communication,https://static.nseindia.com/s3fs-public/2019-07/exchange-comunication.png
21,Find a course,https://static.nseindia.com/s3fs-public/2020-10/find-a-course_0.png
22,NSE Knowledge Hub,https://static.nseindia.com/s3fs-public/2020-08/NSEKH%20theme.jpg
23,NCFM Login,https://static.nseindia.com/s3fs-public/2019-07/NCFM.png
24,Exchange Communication,https://static.nseindia.com/s3fs-public/2021-05/Exchange_communication-100x80.png
25,Downloads,https://static.nseindia.com/s3fs-public/2021-05/Daily_reports-100x80.png
26,Research Initiatives,https://static.nseindia.com/s3fs-public/2021-05/Research_homepage-100x80.jpg
27,Expand Search,/assets/images/expnd_search.svg
28,Accessibility,/assets/images/accessible.svg
29,Feedback,/assets/images/feedback-icon.svg
30,"Login to Exchange, Mutual Fund, NCFM",/assets/images/login-icon.png
31,"Launch of  NSE IFSC SGX Connect by<br>Hon'ble Prime Minister of India,<br>Shri Narendra Modi",https://static.nseindia.com/s3fs-public/2022-08/Launch%20of%20NSE%20IFSC%20SGX%20Connect_0.jpg
32,<br>The #1 Derivatives Exchange In<br>The World - 2021,https://static.nseindia.com/s3fs-public/2022-02/derivatives1920x507woc.jpg
33,<br><br>Join the fight against COVID-19,https://static.nseindia.com/s3fs-public/2022-09/Aarogya-setu.jpg
34,Commemorating the 85<sup>th</sup> Birth Anniversary of our founding Managing Director<br> Dr. R. H. Patil,https://static.nseindia.com/s3fs-public/2022-09/Corporate%20Banner-min.png
35,Customize Icon,/assets/images/Customize.svg
36,View All,/assets/images/Read_more_CTA.svg
37,View All,/assets/images/Read_more_CTA.svg
38,View All,/assets/images/Read_more_CTA.svg
39,View All,/assets/images/Read_more_CTA.svg
40,View All,/assets/images/Read_more_CTA.svg
41,View All,/assets/images/Read_more_CTA.svg
42,View All,/assets/images/Read_more_CTA.svg
43,View All,/assets/images/Read_more_CTA.svg
44,View All,/assets/images/Read_more_CTA.svg
45,View All,/assets/images/Read_more_CTA.svg
46,Refresh,/assets/images/refresh-icon.svg
47,Refresh,/assets/images/refresh-icon.svg
48,View All,/assets/images/Read_more_CTA.svg
49,Refresh,/assets/images/refresh-icon.svg
50,View All,/assets/images/Read_more_CTA.svg
51,Refresh,/assets/images/refresh-icon.svg
52,View All,/assets/images/Read_more_CTA.svg
